Chain,Prefecture,Stores,Population,Area_sqkm
Starbucks,okayama,17,1876,7010
Starbucks,hiroshima,29,2780,8480
Starbucks,yamaguchi,7,1328,6114
Starbucks,tokushima,5,712,4147
Starbucks,kagawa,13,942,1862
Starbucks,ehime,10,1321,5679
Starbucks,kochi,6,684,7105
Starbucks,fukuoka,62,5124,4847
Starbucks,saga,10,806,2440
Starbucks,nagasaki,9,1297,4106
Starbucks,kumamoto,16,1728,7268
Starbucks,oita,9,1114,5100
Starbucks,miyazaki,7,1061,6795
Starbucks,kagoshima,8,1576,9045
Starbucks,okinawa,24,1468,2277
Doutor,hokkaido,25,5183,83457
Doutor,aomori,13,1221,9645
Doutor,iwate,9,1196,15279
Doutor,miyagi,27,2290,6862
Doutor,akita,2,945,11636
Doutor,yamagata,11,1055,6652
Doutor,fukushima,26,1812,13783
Doutor,ibaraki,11,2852,6096
Doutor,tochigi,10,1921,6408
Doutor,gumma,6,1927,6362
Doutor,saitama,78,7340,3768
Doutor,chiba,77,6275,5082
Doutor,tokyo,512,14010,2104
Doutor,kanagawa,175,9236,2416
Doutor,niigata,6,2177,10364
Doutor,toyama,6,1025,2046
Doutor,ishikawa,4,1125,4186
Doutor,fukui,3,760,4190
Doutor,yamanashi,2,805,4201
Doutor,nagano,4,2033,13105
Doutor,gifu,12,1961,9768
Doutor,shizuoka,20,3608,7255
Doutor,aichi,49,7517,5116
Doutor,mie,7,1756,5762
Doutor,shiga,1,1411,3767
Doutor,kyoto,23,2561,4613
Doutor,osaka,80,8806,1901
Doutor,hyogo,29,5432,8396
Doutor,nara,7,1315,3691
Doutor,wakayama,4,914,4726
Doutor,tottori,3,549,3507
Doutor,shimane,1,665,6708
Doutor,okayama,8,1876,7010
Doutor,hiroshima,14,2780,8480
Doutor,yamaguchi,5,1328,6114
Doutor,tokushima,1,712,4147
Doutor,kagawa,2,942,1862
Doutor,ehime,3,1321,5679
Doutor,kochi,2,684,7105
Doutor,fukuoka,34,5124,4847
Doutor,saga,2,806,2440
Doutor,nagasaki,4,1297,4106
Doutor,kumamoto,3,1728,7268
Doutor,oita,2,1114,5100
Doutor,miyazaki,4,1061,6795
Doutor,kagoshima,5,1576,9045
Doutor,okinawa,7,1468,2277
Tully's,hokkaido,21,5183,83457
Tully's,aomori,5,1221,9645
Tully's,iwate,2,1196,15279
Tully's,miyagi,12,2290,6862
Tully's,akita,2,945,11636
Tully's,yamagata,2,1055,6652
Tully's,fukushima,2,1812,13783
Tully's,ibaraki,10,2852,6096
Tully's,tochigi,15,1921,6408
Tully's,gumma,6,1927,6362
Tully's,saitama,36,7340,3768
Tully's,chiba,31,6275,5082
Tully's,tokyo,182,14010,2104
Tully's,kanagawa,60,9236,2416
Tully's,niigata,12,2177,10364
Tully's,toyama,6,1025,2046
Tully's,ishikawa,7,1125,4186
Tully's,fukui,2,760,4190
Tully's,yamanashi,2,805,4201
Tully's,nagano,11,2033,13105
Tully's,gifu,4,1961,9768
Tully's,shizuoka,22,3608,7255
Tully's,aichi,24,7517,5116
Tully's,mie,1,1756,5762
Tully's,shiga,2,1411,3767
Tully's,kyoto,11,2561,4613
Tully's,osaka,50,8806,1901
Tully's,hyogo,18,5432,8396
Tully's,nara,2,1315,3691
Tully's,wakayama,3,914,4726
Tully's,tottori,1,549,3507
Tully's,shimane,4,665,6708
Tully's,okayama,5,1876,7010
Tully's,hiroshima,15,2780,8480
Tully's,yamaguchi,5,1328,6114
Tully's,tokushima,4,712,4147
Tully's,kagawa,3,942,1862
Tully's,ehime,4,1321,5679
Tully's,kochi,1,684,7105
Tully's,fukuoka,24,5124,4847
Tully's,saga,2,806,2440
Tully's,nagasaki,3,1297,4106
Tully's,kumamoto,3,1728,7268
Tully's,oita,2,1114,5100
Tully's,miyazaki,6,1061,6795
Tully's,kagoshima,7,1576,9045
Tully's,okinawa,4,1468,2277
